unix_time,px,py,vx,vy,psi,bax,bay,bwz
1744927542115626000,-0.00047610086139427175,-4.4386217534588816e-06,-0.04780657114684069,-0.0004456939775937987,-0.0017600871887110071,0.0,0.0,0.0
1744927542125585200,-0.0014249310469284778,-9.662390938736969e-05,-0.09527459714769765,-0.009256573279570114,-0.006314190400154868,0.0,0.0,0.0
1744927542135544000,-0.0026205589491459305,-0.00038515196536759177,-0.12005622129125233,-0.028971880024924655,-0.009456604024729847,0.0,0.0,0.0
1744927542145503000,-0.003924358406391345,-0.0006746263599971891,-0.13091801878173445,-0.02906690444020899,-0.01061353998415466,0.0,0.0,0.0
1744927542155461000,-0.005411200309709744,-0.0008093807926138923,-0.1492978043075438,-0.013531055901425181,-0.013240680808832447,0.0,0.0,0.0
1744927542165420000,-0.007120682941671556,-0.0011439828658086084,-0.17165376015039938,-0.033598296317335866,-0.019636651946161626,0.0,0.0,0.0
1744927542175379000,-0.008754206666462124,-0.0017206611555648315,-0.16402652148234925,-0.057905821903646314,-0.026985554727978187,0.0,0.0,0.0
1744927542185337000,-0.009865621579647854,-0.002262254957685984,-0.11160016800909038,-0.05438289390606918,-0.03091321100776783,0.0,0.0,0.0
1744927542195296000,-0.010133102495369277,-0.00256912350502646,-0.026858479924632597,-0.030813498211697658,-0.030904570594249323,0.0,0.0,0.0
1744927542205255000,-0.009461512607149017,-0.0024939160753680223,0.0674361514042976,0.0075517807848695835,-0.029757532948436236,0.0,0.0,0.0
1744927542215214000,-0.007867661264155942,-0.002340722014292613,0.16004291066212886,0.015382628711545363,-0.026466438725106057,0.0,0.0,0.0
1744927542225172000,-0.005525687952869155,-0.0025840591766201912,0.23516385457096542,-0.024434140550420046,-0.018747831395250932,0.0,0.0,0.0
1744927542235131100,-0.0028309753720515522,-0.003117342959508965,0.27058335567357866,-0.053548462469627515,-0.00831762567923925,0.0,0.0,0.0
1744927542245090000,-0.00029074437751658213,-0.003611701831631922,0.25507144308457463,-0.04963990723101518,0.0020827850441705598,0.0,0.0,0.0
1744927542255048000,0.001595751165347036,-0.0037400635764314014,0.18942810379295086,-0.012889148881852372,0.00830875964477549,0.0,0.0,0.0
1744927542265007000,0.002520965691090265,-0.003511845726774948,0.09290328507598518,0.02291596960070425,0.008724446129387652,0.0,0.0,0.0
1744927542274966000,0.00251113223254275,-0.0032496526550926607,-0.0009874040855430977,0.02632751324767666,0.005823640903551176,0.0,0.0,0.0
1744927542284925000,0.0017413075118183552,-0.003319781914764969,-0.07730017579495675,-0.007041868044895365,0.0017431883820161762,0.0,0.0,0.0
1744927542294883000,0.0004170892699374726,-0.003820366200791973,-0.13296832399972713,-0.05026501782596508,-0.002954215304813471,0.0,0.0,0.0
1744927542304842000,-0.0012284322028966964,-0.0042670792842485,-0.1652312477115112,-0.04485566512933424,-0.007646545223876761,0.0,0.0,0.0
1744927542314801000,-0.00303396497429389,-0.0044476909918668775,-0.1812984136196963,-0.01813570852387092,-0.01271197945635236,0.0,0.0,0.0
1744927542324759000,-0.0048534597321320105,-0.0045927092567853885,-0.1827003743222766,-0.014561674976002487,-0.016929717834742276,0.0,0.0,0.0
1744927542334718000,-0.006587003763550729,-0.004686896610657693,-0.17406983014376276,-0.00945760614850081,-0.020086752042759108,0.0,0.0,0.0
1744927542344676900,-0.008188215137012378,-0.004682869493825164,-0.1607819511654549,0.00040437365899134367,-0.02545331550516177,0.0,0.0,0.0
1744927542354636000,-0.009363533067731317,-0.004536057559305359,-0.11801684229372127,0.014741782176726845,-0.031286757015960544,0.0,0.0,0.0
1744927542364594000,-0.009731708322192693,-0.0043032585762935345,-0.03696946996770489,0.023375973552483158,-0.03385286778984802,0.0,0.0,0.0
1744927542374553000,-0.009144750955275557,-0.004212049084742521,0.05893797175562929,0.009158590963963199,-0.03134179138360681,0.0,0.0,0.0
1744927542384512000,-0.007713349568481399,-0.004192736944592106,0.1437308725656607,0.0019391840615344599,-0.025445172723057723,0.0,0.0,0.0
1744927542394470000,-0.005719606628717237,-0.003985254792119866,0.20019710407416103,0.020833842339238268,-0.01816192939296275,0.0,0.0,0.0
1744927542404429000,-0.0035376918697589536,-0.0036000339884468702,0.21909194378478375,0.03868105952193472,-0.011194474756820337,0.0,0.0,0.0
1744927542414388000,-0.001481358588353251,-0.0033097916838477587,0.2064819690332971,0.029144012350672405,-0.005681879324123835,0.0,0.0,0.0
1744927542424347000,0.00023370870223931293,-0.0033494481093421305,0.17221453078076535,-0.003982008604802939,-0.001806107194310245,0.0,0.0,0.0
1744927542434305000,0.0014926730218080067,-0.0036799808469613355,0.12641600172395484,-0.03318968336053231,0.0010467078758815353,0.0,0.0,0.0
1744927542444264000,0.0022548053460441165,-0.003922008667790342,0.07652776152347243,-0.024302666040326423,0.0023691257433684685,0.0,0.0,0.0
